Hash,Refatoração,Descrição
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package setOfEntryOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Set<Map.Entry<K javax.inject.Provider<V>>>> from class com.google.inject.internal.RealMapBinder to package setOfEntryOfJavaxProviderOf(keyType TypeLiteral<K>  valueType TypeLiteral<V>) : TypeLiteral<Set<Map.Entry<K javax.inject.Provider<V>>>> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package newRealMapBinder(binder Binder  keyType TypeLiteral<K>  valueTypeAndAnnotation Key<V>) : RealMapBinder<K V> from class com.google.inject.internal.RealMapBinder to package newRealMapBinder(binder Binder  keyType TypeLiteral<K>  valueTypeAndAnnotation Key<V>) : RealMapBinder<K V> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	entrySetBinder : RealMultibinder<Entry<K Provider<V>>> to entrySetBinder : Multibinder<Entry<K Provider<V>>> in method private newRealMapBinder(binder Binder  keyType TypeLiteral<K>  valueType TypeLiteral<V>  mapKey Key<Map<K V>>  entrySetBinder Multibinder<Entry<K Provider<V>>>) : RealMapBinder<K V> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	private newRealMapBinder(binder Binder  keyType TypeLiteral<K>  valueType TypeLiteral<V>  mapKey Key<Map<K V>>  entrySetBinder RealMultibinder<Entry<K Provider<V>>>) : RealMapBinder<K V> from class com.google.inject.internal.RealMapBinder to private newRealMapBinder(binder Binder  keyType TypeLiteral<K>  valueType TypeLiteral<V>  mapKey Key<Map<K V>>  entrySetBinder Multibinder<Entry<K Provider<V>>>) : RealMapBinder<K V> from class com.google.inject.multibindings.MapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package newRealSetBinder(binder Binder  key Key<T>) : RealMultibinder<T> from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	public newRealSetBinder(binder Binder  key Key<T>) : RealMultibinder<T> from class com.google.inject.internal.RealMultibinder to package newRealSetBinder(binder Binder  key Key<T>) : RealMultibinder<T> from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package setOf(elementType TypeLiteral<T>) : TypeLiteral<Set<T>> from class com.google.inject.internal.RealMultibinder to package setOf(elementType TypeLiteral<T>) : TypeLiteral<Set<T>> from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package collectionOfProvidersOf(elementType TypeLiteral<T>) : TypeLiteral<Collection<Provider<T>>> from class com.google.inject.internal.RealMultibinder to package collectionOfProvidersOf(elementType TypeLiteral<T>) : TypeLiteral<Collection<Provider<T>>> from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package collectionOfJavaxProvidersOf(elementType TypeLiteral<T>) : TypeLiteral<Collection<javax.inject.Provider<T>>> from class com.google.inject.internal.RealMultibinder to package collectionOfJavaxProvidersOf(elementType TypeLiteral<T>) : TypeLiteral<Collection<javax.inject.Provider<T>>> from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package checkConfiguration(condition boolean  format String  args Object...) : void from class com.google.inject.internal.Errors to package checkConfiguration(condition boolean  format String  args Object...) : void from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	package to private in method private newDuplicateValuesException(existingBindings Map<T Binding<T>>  binding Binding<T>  newValue T  duplicateBinding Binding<T>) : ConfigurationException from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package newDuplicateValuesException(existingBindings Map<T Binding<T>>  binding Binding<T>  newValue T  duplicateBinding Binding<T>) : ConfigurationException from class com.google.inject.internal.RealMultibinder to private newDuplicateValuesException(existingBindings Map<T Binding<T>>  binding Binding<T>  newValue T  duplicateBinding Binding<T>) : ConfigurationException from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package checkNotNull(reference T  name String) : T from class com.google.inject.internal.Errors to package checkNotNull(reference T  name String) : T from class com.google.inject.multibindings.Multibinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	private findMapKeyAnnotation(binder Binder  method Method) : AnnotationOrError from class com.google.inject.internal.MultibindingsMethodScanner to private findMapKeyAnnotation(binder Binder  method Method) : AnnotationOrError from class com.google.inject.multibindings.MultibindingsScanner
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package typeAndValueOfMapKey(mapKeyAnnotation Annotation) : TypeAndValue<?> from class com.google.inject.internal.MultibindingsMethodScanner to package typeAndValueOfMapKey(mapKeyAnnotation Annotation) : TypeAndValue<?> from class com.google.inject.multibindings.MultibindingsScanner
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package newRealOptionalBinder(binder Binder  type Key<T>) : RealOptionalBinder<T> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	public newRealOptionalBinder(binder Binder  type Key<T>) : RealOptionalBinder<T> from class com.google.inject.internal.RealOptionalBinder to package newRealOptionalBinder(binder Binder  type Key<T>) : RealOptionalBinder<T> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package optionalOf(type TypeLiteral<T>) : TypeLiteral<Optional<T>> from class com.google.inject.internal.RealOptionalBinder to package optionalOf(type TypeLiteral<T>) : TypeLiteral<Optional<T>> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package javaOptionalOf(type TypeLiteral<T>) : TypeLiteral<?> from class com.google.inject.internal.RealOptionalBinder to package javaOptionalOf(type TypeLiteral<T>) : TypeLiteral<?> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package optionalOfJavaxProvider(type TypeLiteral<T>) : TypeLiteral<Optional<javax.inject.Provider<T>>> from class com.google.inject.internal.RealOptionalBinder to package optionalOfJavaxProvider(type TypeLiteral<T>) : TypeLiteral<Optional<javax.inject.Provider<T>>> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package javaOptionalOfJavaxProvider(type TypeLiteral<T>) : TypeLiteral<?> from class com.google.inject.internal.RealOptionalBinder to package javaOptionalOfJavaxProvider(type TypeLiteral<T>) : TypeLiteral<?> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package optionalOfProvider(type TypeLiteral<T>) : TypeLiteral<Optional<Provider<T>>> from class com.google.inject.internal.RealOptionalBinder to package optionalOfProvider(type TypeLiteral<T>) : TypeLiteral<Optional<Provider<T>>> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package javaOptionalOfProvider(type TypeLiteral<T>) : TypeLiteral<?> from class com.google.inject.internal.RealOptionalBinder to package javaOptionalOfProvider(type TypeLiteral<T>) : TypeLiteral<?> from class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,MOVE_OPERATION, Move Method Move Method	package providerOf(key Key<T>) : Key<Provider<T>> from class com.google.inject.internal.RealOptionalBinder to package providerOf(key Key<T>) : Key<Provider<T>> from class com.google.inject.multibindings.OptionalBinder
