Hash,Refatoração,Descrição
d52eddb1ccf59ee9e38f7e60ca0c1f3da9834637,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(AbstractLoadBalancerAwareClient  Verb  String  MultivaluedMap  MultivaluedMap  InputStream) at zuul-netflix/src/main/java/com/netflix/zuul/dependency/ribbon/hystrix/RibbonCommand.java:46}	{Method new(T  Verb  String  MultivaluedMap  MultivaluedMap  InputStream) at zuul-netflix/src/main/java/com/netflix/zuul/dependency/ribbon/hystrix/RibbonCommand.java:44}) CHANGE_SIGNATURE({com.netflix.zuul.dependency.ribbon.hystrix.RibbonCommand new(AbstractLoadBalancerAwareClient  Verb  String  MultivaluedMap  MultivaluedMap  InputStream)}  {com.netflix.zuul.dependency.ribbon.hystrix.RibbonCommand new(T  Verb  String  MultivaluedMap  MultivaluedMap  InputStream)}),
d52eddb1ccf59ee9e38f7e60ca0c1f3da9834637,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(String  AbstractLoadBalancerAwareClient  Verb  String  MultivaluedMap  MultivaluedMap  InputStream) at zuul-netflix/src/main/java/com/netflix/zuul/dependency/ribbon/hystrix/RibbonCommand.java:56}	{Method new(String  T  Verb  String  MultivaluedMap  MultivaluedMap  InputStream) at zuul-netflix/src/main/java/com/netflix/zuul/dependency/ribbon/hystrix/RibbonCommand.java:54}) CHANGE_SIGNATURE({com.netflix.zuul.dependency.ribbon.hystrix.RibbonCommand new(String  AbstractLoadBalancerAwareClient  Verb  String  MultivaluedMap  MultivaluedMap  InputStream)}  {com.netflix.zuul.dependency.ribbon.hystrix.RibbonCommand new(String  T  Verb  String  MultivaluedMap  MultivaluedMap  InputStream)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,RENAME, RENAME	{Method setupProcessor(Collection) at zuul-core/src/test/java/com/netflix/zuul/FilterProcessorPerfTest.java:106}	{Method setupFilterLoader(Collection) at zuul-core/src/test/java/com/netflix/zuul/FilterProcessorPerfTest.java:112}) RENAME({com.netflix.zuul.FilterProcessorPerfTest setupProcessor(Collection)}  {com.netflix.zuul.FilterProcessorPerfTest setupFilterLoader(Collection)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PUSH_DOWN, PUSH_DOWN	{Method recordFilterError(ZuulFilter  ZuulMessage  Throwable) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:339}	{Method recordFilterError(ZuulFilter  ZuulMessage  Throwable) at zuul-core/src/main/java/com/netflix/zuul/OriginalFilterProcessorImpl.java:361}) PUSH_DOWN({com.netflix.zuul.FilterProcessor recordFilterError(ZuulFilter  ZuulMessage  Throwable)}  {com.netflix.zuul.OriginalFilterProcessorImpl recordFilterError(ZuulFilter  ZuulMessage  Throwable)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,MOVE, MOVE	{Class BasicFilterUsageNotifier at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:365}	{Class BasicFilterUsageNotifier at zuul-core/src/main/java/com/netflix/zuul/FilterProcessorImpl.java:490}) MOVE({com.netflix.zuul.FilterProcessor BasicFilterUsageNotifier}  {com.netflix.zuul.FilterProcessorImpl BasicFilterUsageNotifier}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PUSH_DOWN, PUSH_DOWN	{Method processFilterAsObservable(Observable  ZuulFilter  boolean) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:219}	{Method processFilterAsObservable(Observable  ZuulFilter  boolean) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessorImpl.java:277}) PUSH_DOWN({com.netflix.zuul.FilterProcessor processFilterAsObservable(Observable  ZuulFilter  boolean)}  {com.netflix.zuul.FilterProcessorImpl processFilterAsObservable(Observable  ZuulFilter  boolean)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,RENAME, RENAME	{Class FilterProcessorTest at zuul-core/src/test/java/com/netflix/zuul/FilterProcessorTest.java:22}	{Class FilterProcessorImplTest at zuul-core/src/test/java/com/netflix/zuul/FilterProcessorImplTest.java:24}) RENAME({com.netflix.zuul.FilterProcessorTest}  {com.netflix.zuul.FilterProcessorImplTest}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PUSH_DOWN_IMPL, PUSH_DOWN_IMPL	{Method applyFilterChain(ZuulMessage) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:66}	{Method applyFilterChain(ZuulMessage) at zuul-core/src/main/java/com/netflix/zuul/OriginalFilterProcessorImpl.java:67}) PUSH_DOWN_IMPL({com.netflix.zuul.FilterProcessor applyFilterChain(ZuulMessage)}  {com.netflix.zuul.OriginalFilterProcessorImpl applyFilterChain(ZuulMessage)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,EXTRACT_MOVE, EXTRACT_MOVE	{Method chainFilters(ZuulMessage  Iterator) at zuul-core/src/main/java/com/netflix/zuul/ExperimentalFilterProcessor2.java:69}	{Method isSyncFilter(ZuulFilter) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessorImpl.java:192}) EXTRACT_MOVE({com.netflix.zuul.ExperimentalFilterProcessor2 chainFilters(ZuulMessage  Iterator)}  {com.netflix.zuul.FilterProcessorImpl isSyncFilter(ZuulFilter)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PULL_UP, PULL_UP	{Method chainFilters(ZuulMessage  Iterator) at zuul-core/src/main/java/com/netflix/zuul/ExperimentalFilterProcessor2.java:69}	{Method chainFilters(ZuulMessage  Iterator) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessorImpl.java:97}) PULL_UP({com.netflix.zuul.ExperimentalFilterProcessor2 chainFilters(ZuulMessage  Iterator)}  {com.netflix.zuul.FilterProcessorImpl chainFilters(ZuulMessage  Iterator)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PUSH_DOWN, PUSH_DOWN	{Method applyOutboundFilters(Observable) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:199}	{Method applyOutboundFilters(Observable) at zuul-core/src/main/java/com/netflix/zuul/OriginalFilterProcessorImpl.java:222}) PUSH_DOWN({com.netflix.zuul.FilterProcessor applyOutboundFilters(Observable)}  {com.netflix.zuul.OriginalFilterProcessorImpl applyOutboundFilters(Observable)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PUSH_DOWN, PUSH_DOWN	{Method applyErrorEndpointIfNeeded(Observable) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:87}	{Method applyErrorEndpointIfNeeded(Observable) at zuul-core/src/main/java/com/netflix/zuul/OriginalFilterProcessorImpl.java:90}) PUSH_DOWN({com.netflix.zuul.FilterProcessor applyErrorEndpointIfNeeded(Observable)}  {com.netflix.zuul.OriginalFilterProcessorImpl applyErrorEndpointIfNeeded(Observable)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PUSH_DOWN, PUSH_DOWN	{Method recordFilterCompletion(ZuulMessage  ZuulFilter  FilterExecInfo) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:316}	{Method recordFilterCompletion(ZuulMessage  ZuulFilter  FilterExecInfo) at zuul-core/src/main/java/com/netflix/zuul/OriginalFilterProcessorImpl.java:338}) PUSH_DOWN({com.netflix.zuul.FilterProcessor recordFilterCompletion(ZuulMessage  ZuulFilter  FilterExecInfo)}  {com.netflix.zuul.OriginalFilterProcessorImpl recordFilterCompletion(ZuulMessage  ZuulFilter  FilterExecInfo)}),
a1f468a16ede03c55478cd632a0879cd5a51db60,PUSH_DOWN, PUSH_DOWN	{Method applyInboundFilters(Observable) at zuul-core/src/main/java/com/netflix/zuul/FilterProcessor.java:78}	{Method applyInboundFilters(Observable) at zuul-core/src/main/java/com/netflix/zuul/OriginalFilterProcessorImpl.java:79}) PUSH_DOWN({com.netflix.zuul.FilterProcessor applyInboundFilters(Observable)}  {com.netflix.zuul.OriginalFilterProcessorImpl applyInboundFilters(Observable)}),
