Hash,Refatoração,Descrição
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class MinifiedArscTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/MinifiedArscTest.java:33}	{Class MinifiedArscTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/MinifiedArscTest.java:36}) MOVE({brut.androlib.MinifiedArscTest}  {brut.androlib.decode.MinifiedArscTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class BuildAndDecodeJarTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/BuildAndDecodeJarTest.java:30}	{Class BuildAndDecodeJarTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/aapt1/BuildAndDecodeJarTest.java:34}) MOVE({brut.androlib.BuildAndDecodeJarTest}  {brut.androlib.aapt1.BuildAndDecodeJarTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class MissingVersionManifestTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/MissingVersionManifestTest.java:32}	{Class MissingVersionManifestTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/MissingVersionManifestTest.java:36}) MOVE({brut.androlib.MissingVersionManifestTest}  {brut.androlib.decode.MissingVersionManifestTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class OutsideOfDirectoryEntryTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/OutsideOfDirectoryEntryTest.java:31}	{Class OutsideOfDirectoryEntryTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/OutsideOfDirectoryEntryTest.java:34}) MOVE({brut.androlib.OutsideOfDirectoryEntryTest}  {brut.androlib.decode.OutsideOfDirectoryEntryTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class DebugTagRetainedTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/DebugTagRetainedTest.java:34}	{Class DebugTagRetainedTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/aapt1/DebugTagRetainedTest.java:35}) MOVE({brut.androlib.DebugTagRetainedTest}  {brut.androlib.aapt1.DebugTagRetainedTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class DefaultBaksmaliVariableTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/DefaultBaksmaliVariableTest.java:33}	{Class DefaultBaksmaliVariableTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/aapt1/DefaultBaksmaliVariableTest.java:37}) MOVE({brut.androlib.DefaultBaksmaliVariableTest}  {brut.androlib.aapt1.DefaultBaksmaliVariableTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class DoubleExtensionUnknownFileTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/DoubleExtensionUnknownFileTest.java:33}	{Class DoubleExtensionUnknownFileTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/DoubleExtensionUnknownFileTest.java:37}) MOVE({brut.androlib.DoubleExtensionUnknownFileTest}  {brut.androlib.decode.DoubleExtensionUnknownFileTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class InvalidSdkBoundingTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/InvalidSdkBoundingTest.java:27}	{Class InvalidSdkBoundingTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/androlib/InvalidSdkBoundingTest.java:28}) MOVE({brut.androlib.InvalidSdkBoundingTest}  {brut.androlib.androlib.InvalidSdkBoundingTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class ProviderAttributeTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/ProviderAttributeTest.java:34}	{Class ProviderAttributeTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/aapt1/ProviderAttributeTest.java:38}) MOVE({brut.androlib.ProviderAttributeTest}  {brut.androlib.aapt1.ProviderAttributeTest}),
646eb54102647738118a7265aff11de209715deb,MOVE, MOVE	{Class ForceManifestDecodeNoResourcesTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/ForceManifestDecodeNoResourcesTest.java:33}	{Class ForceManifestDecodeNoResourcesTest at brut.apktool/apktool-lib/src/test/java/brut/androlib/decode/ForceManifestDecodeNoResourcesTest.java:36}) MOVE({brut.androlib.ForceManifestDecodeNoResourcesTest}  {brut.androlib.decode.ForceManifestDecodeNoResourcesTest}),
4065717b450f557f385495c6cd80bd0da10dba10,RENAME, RENAME	{Class StringExRepresent at brut.apktool/apktool-lib/src/main/java/brut/androlib/meta/StringExRepresent.java:22}	{Class EscapedStringRepresenter at brut.apktool/apktool-lib/src/main/java/brut/androlib/meta/EscapedStringRepresenter.java:22}) RENAME({brut.androlib.meta.StringExRepresent}  {brut.androlib.meta.EscapedStringRepresenter}),
4065717b450f557f385495c6cd80bd0da10dba10,MOVE, MOVE	{Class ConstructStringEx at brut.apktool/apktool-lib/src/main/java/brut/androlib/meta/StringExConstructor.java:30}	{Class ConstructStringEx at brut.apktool/apktool-lib/src/main/java/brut/androlib/meta/ClassSafeConstructor.java:55}) MOVE({brut.androlib.meta.StringExConstructor ConstructStringEx}  {brut.androlib.meta.ClassSafeConstructor ConstructStringEx}),
397d69c72a6d6c9703b8e50f6e03dfcc67216af2,EXTRACT, EXTRACT	{Method publicizeResources(byte[]) at src/brut/androlib/res/AndrolibResources.java:379}	{Method publicizeResources(byte[]  FlagsOffset[]) at src/brut/androlib/res/AndrolibResources.java:439}) EXTRACT({brut.androlib.res.AndrolibResources publicizeResources(byte[])}  {brut.androlib.res.AndrolibResources publicizeResources(byte[]  FlagsOffset[])}),
87315af36e900b5a87d9b5bc3e5ce7730e4bc20e,MOVE, MOVE	{Method replaceNewlines(String) at brut.apktool/apktool-lib/src/test/java/brut/androlib/ProviderAttributeTest.java:87}	{Method replaceNewlines(String) at brut.apktool/apktool-lib/src/test/java/brut/androlib/TestUtils.java:163}) MOVE({brut.androlib.ProviderAttributeTest replaceNewlines(String)}  {brut.androlib.TestUtils replaceNewlines(String)}),
db1fe98524d0e0f8ea08a1636730836767eeab9b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setAdvanceMode(boolean) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:637}	{Method setAdvanceMode() at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:653}) CHANGE_SIGNATURE({brut.apktool.Main setAdvanceMode(boolean)}  {brut.apktool.Main setAdvanceMode()}),
fc28ac56efa4f622f29e9a8de8c7a184e1d9d5aa,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(ResID  String  int  ResPackage  ResTypeSpec) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:37}	{Method new(ResID  String  ResPackage  ResTypeSpec) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:35}) CHANGE_SIGNATURE({brut.androlib.res.data.ResResSpec new(ResID  String  int  ResPackage  ResTypeSpec)}  {brut.androlib.res.data.ResResSpec new(ResID  String  ResPackage  ResTypeSpec)}),
3208624bf683a982ea8d23aa7d05a249e14c8c3c,EXTRACT_MOVE, EXTRACT_MOVE	{Method adjust_package_manifest(ResTable  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:195}	{Method renameManifestPackage(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlPatcher.java:178}) EXTRACT_MOVE({brut.androlib.res.AndrolibResources adjust_package_manifest(ResTable  String)}  {brut.androlib.res.xml.ResXmlPatcher renameManifestPackage(File  String)}),
3208624bf683a982ea8d23aa7d05a249e14c8c3c,MOVE_RENAME, MOVE_RENAME	{Method remove_manifest_versions(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:290}	{Method removeManifestVersions(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlPatcher.java:150}) MOVE_RENAME({brut.androlib.res.AndrolibResources remove_manifest_versions(String)}  {brut.androlib.res.xml.ResXmlPatcher removeManifestVersions(File)}),
3208624bf683a982ea8d23aa7d05a249e14c8c3c,RENAME, RENAME	{Method adjust_package_manifest(ResTable  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:195}	{Method adjustPackageManifest(ResTable  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:160}) RENAME({brut.androlib.res.AndrolibResources adjust_package_manifest(ResTable  String)}  {brut.androlib.res.AndrolibResources adjustPackageManifest(ResTable  String)}),
3208624bf683a982ea8d23aa7d05a249e14c8c3c,MOVE_RENAME, MOVE_RENAME	{Method fixing_public_attrs_in_providers(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:232}	{Method fixingPublicAttrsInProviderAttributes(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlPatcher.java:72}) MOVE_RENAME({brut.androlib.res.AndrolibResources fixing_public_attrs_in_providers(File)}  {brut.androlib.res.xml.ResXmlPatcher fixingPublicAttrsInProviderAttributes(File)}),
3208624bf683a982ea8d23aa7d05a249e14c8c3c,MOVE_RENAME, MOVE_RENAME	{Method pull_value_from_strings(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:267}	{Method pullValueFromStrings(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlPatcher.java:119}) MOVE_RENAME({brut.androlib.res.AndrolibResources pull_value_from_strings(File  String)}  {brut.androlib.res.xml.ResXmlPatcher pullValueFromStrings(File  String)}),
3208624bf683a982ea8d23aa7d05a249e14c8c3c,MOVE, MOVE	{Method saveDocument(String  Document) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:327}	{Method saveDocument(File  Document) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlPatcher.java:218}) MOVE({brut.androlib.res.AndrolibResources saveDocument(String  Document)}  {brut.androlib.res.xml.ResXmlPatcher saveDocument(File  Document)}),
3208624bf683a982ea8d23aa7d05a249e14c8c3c,MOVE_RENAME, MOVE_RENAME	{Method remove_application_debug(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:172}	{Method removeApplicationDebugTag(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlPatcher.java:44}) MOVE_RENAME({brut.androlib.res.AndrolibResources remove_application_debug(String)}  {brut.androlib.res.xml.ResXmlPatcher removeApplicationDebugTag(File)}),
4d11c13e44ba89a1da3f8214149cab93baf22cbf,EXTRACT, EXTRACT	{Method getFrameworkApk(int  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:798}	{Method getAndroidFrameworkResourcesAsStream() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:1033}) EXTRACT({brut.androlib.res.AndrolibResources getFrameworkApk(int  String)}  {brut.androlib.res.AndrolibResources getAndroidFrameworkResourcesAsStream()}),
58ec5e1892280be291bca21926318734d9b4869f,EXTRACT, EXTRACT	{Method toString() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:121}	{Method getmType() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:126}) EXTRACT({brut.androlib.res.data.ResResSpec toString()}  {brut.androlib.res.data.ResResSpec getmType()}),
58ec5e1892280be291bca21926318734d9b4869f,EXTRACT, EXTRACT	{Method getType() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:104}	{Method getmType() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:126}) EXTRACT({brut.androlib.res.data.ResResSpec getType()}  {brut.androlib.res.data.ResResSpec getmType()}),
b2b5eb5f01faa0bc2bc85d70f8842a14f723c90e,EXTRACT, EXTRACT	{Method decode() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:72}	{Method setTargetSdkVersion() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:205}) EXTRACT({brut.androlib.ApkDecoder decode()}  {brut.androlib.ApkDecoder setTargetSdkVersion()}),
b2b5eb5f01faa0bc2bc85d70f8842a14f723c90e,EXTRACT, EXTRACT	{Method decode() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:72}	{Method setCompressionMode() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:193}) EXTRACT({brut.androlib.ApkDecoder decode()}  {brut.androlib.ApkDecoder setCompressionMode()}),
03a98d6a1cfb6d07f75033eb76715f4928114bc6,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decode(String  String) at src/brut/androlib/Androlib.java:39}	{Method decode(String  String  boolean) at src/brut/androlib/Androlib.java:35}) CHANGE_SIGNATURE({brut.androlib.Androlib decode(String  String)}  {brut.androlib.Androlib decode(String  String  boolean)}),
03a98d6a1cfb6d07f75033eb76715f4928114bc6,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decode(File  File) at src/brut/androlib/Androlib.java:44}	{Method decode(File  File  boolean) at src/brut/androlib/Androlib.java:40}) CHANGE_SIGNATURE({brut.androlib.Androlib decode(File  File)}  {brut.androlib.Androlib decode(File  File  boolean)}),
0ea77446251902c2514c521465355c1050cb6902,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildApk(File  boolean) at src/brut/androlib/Androlib.java:327}	{Method buildApk(File  File  boolean) at src/brut/androlib/Androlib.java:331}) CHANGE_SIGNATURE({brut.androlib.Androlib buildApk(File  boolean)}  {brut.androlib.Androlib buildApk(File  File  boolean)}),
7ef993cc7575a8fb8aade43a8133d3bb2428f3b1,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decodeSourcesRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:61}	{Method decodeSourcesRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:61}) CHANGE_SIGNATURE({brut.androlib.Androlib decodeSourcesRaw(ExtFile  File)}  {brut.androlib.Androlib decodeSourcesRaw(ExtFile  File  String)}),
7ef993cc7575a8fb8aade43a8133d3bb2428f3b1,INLINE, INLINE	{Method copySourceRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:74}	{Method decodeSourcesRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:61}) INLINE({brut.androlib.Androlib copySourceRaw(ExtFile  File  String)}  {brut.androlib.Androlib decodeSourcesRaw(ExtFile  File  String)}),
7ef993cc7575a8fb8aade43a8133d3bb2428f3b1,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(File  File  boolean  String  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/src/SmaliDecoder.java:49}	{Method new(File  File  String  boolean  String  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/src/SmaliDecoder.java:49}) CHANGE_SIGNATURE({brut.androlib.src.SmaliDecoder new(File  File  boolean  String  boolean  int)}  {brut.androlib.src.SmaliDecoder new(File  File  String  boolean  String  boolean  int)}),
7ef993cc7575a8fb8aade43a8133d3bb2428f3b1,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decode(File  File  boolean  String  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/src/SmaliDecoder.java:44}	{Method decode(File  File  String  boolean  String  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/src/SmaliDecoder.java:44}) CHANGE_SIGNATURE({brut.androlib.src.SmaliDecoder decode(File  File  boolean  String  boolean  int)}  {brut.androlib.src.SmaliDecoder decode(File  File  String  boolean  String  boolean  int)}),
7ef993cc7575a8fb8aade43a8133d3bb2428f3b1,RENAME, RENAME	{Method decodeNonDefaultSourcesSmali(File  File  String  boolean  String  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:96}	{Method decodeSourcesSmali(File  File  String  boolean  String  boolean  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:71}) RENAME({brut.androlib.Androlib decodeNonDefaultSourcesSmali(File  File  String  boolean  String  boolean  int)}  {brut.androlib.Androlib decodeSourcesSmali(File  File  String  boolean  String  boolean  int)}),
f0f87c844ebea9a4e582fdd987a158ebce861623,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method decodeRawFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:140}	{Method decodeRawFiles(ExtFile  File  short) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:140}) CHANGE_SIGNATURE({brut.androlib.Androlib decodeRawFiles(ExtFile  File)}  {brut.androlib.Androlib decodeRawFiles(ExtFile  File  short)}),
de8bdfacfa2bd3fc278e5b779da53f24e997107b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte) at src/brut/androlib/res/data/ResConfigFlags.java:65}	{Method new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte  byte) at src/brut/androlib/res/data/ResConfigFlags.java:67}) CHANGE_SIGNATURE({brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte)}  {brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  byte  byte  short  byte  byte  byte  short  short  short  byte  byte)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,MOVE_RENAME, MOVE_RENAME	{Method putSdkInfo(File  MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:301}	{Method initSdkInfo(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTable.java:262}) MOVE_RENAME({brut.androlib.ApkDecoder putSdkInfo(File  MetaInfo)}  {brut.androlib.res.data.ResTable initSdkInfo(File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,RENAME, RENAME	{Method decodeRawFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:453}	{Method copyRawFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:348}) RENAME({brut.androlib.ApkDecoder decodeRawFiles(ExtFile  File)}  {brut.androlib.ApkDecoder copyRawFiles(ExtFile  File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,MOVE_RENAME, MOVE_RENAME	{Method putUsesFramework(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:280}	{Method getUsesFramework() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTable.java:246}) MOVE_RENAME({brut.androlib.ApkDecoder putUsesFramework(MetaInfo)}  {brut.androlib.res.data.ResTable getUsesFramework()}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,RENAME, RENAME	{Method putMinSdkInfo(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:327}	{Method getMinSdkInfo() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:273}) RENAME({brut.androlib.ApkDecoder putMinSdkInfo(MetaInfo)}  {brut.androlib.ApkDecoder getMinSdkInfo()}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,RENAME, RENAME	{Method decodeUnknownFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:487}	{Method copyUnknownFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:382}) RENAME({brut.androlib.ApkDecoder decodeUnknownFiles(ExtFile  File)}  {brut.androlib.ApkDecoder copyUnknownFiles(ExtFile  File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,RENAME, RENAME	{Method decodeManifestRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:418}	{Method copyManifestRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:313}) RENAME({brut.androlib.ApkDecoder decodeManifestRaw(ExtFile  File)}  {brut.androlib.ApkDecoder copyManifestRaw(ExtFile  File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,RENAME, RENAME	{Method writeOriginalFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:511}	{Method copyOriginalFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:406}) RENAME({brut.androlib.ApkDecoder writeOriginalFiles(ExtFile  File)}  {brut.androlib.ApkDecoder copyOriginalFiles(ExtFile  File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,INLINE, INLINE	{Method putFileCompressionInfo(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:378}	{Method writeMetaFile(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:246}) INLINE({brut.androlib.ApkDecoder putFileCompressionInfo(MetaInfo)}  {brut.androlib.ApkDecoder writeMetaFile(File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,INLINE, INLINE	{Method putUnknownInfo(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:374}	{Method writeMetaFile(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:246}) INLINE({brut.androlib.ApkDecoder putUnknownInfo(MetaInfo)}  {brut.androlib.ApkDecoder writeMetaFile(File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,MOVE_RENAME, MOVE_RENAME	{Method putVersionInfo(File  MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:357}	{Method getVersionInfoWithName(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTable.java:308}) MOVE_RENAME({brut.androlib.ApkDecoder putVersionInfo(File  MetaInfo)}  {brut.androlib.res.data.ResTable getVersionInfoWithName(File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,MOVE_RENAME, MOVE_RENAME	{Method putPackageInfo(MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:335}	{Method getPackageInfo() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTable.java:285}) MOVE_RENAME({brut.androlib.ApkDecoder putPackageInfo(MetaInfo)}  {brut.androlib.res.data.ResTable getPackageInfo()}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,RENAME, RENAME	{Method decodeResourcesRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:433}	{Method copyResourcesRaw(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:328}) RENAME({brut.androlib.ApkDecoder decodeResourcesRaw(ExtFile  File)}  {brut.androlib.ApkDecoder copyResourcesRaw(ExtFile  File)}),
85a710f77a9984ce9d2ae7e7154b9e8140c274df,RENAME, RENAME	{Method decodeSourcesRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:384}	{Method copySourcesRaw(ExtFile  File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:279}) RENAME({brut.androlib.ApkDecoder decodeSourcesRaw(ExtFile  File  String)}  {brut.androlib.ApkDecoder copySourcesRaw(ExtFile  File  String)}),
a117132e39e982aee5609f19498769f62f86650b,MOVE, MOVE	{Class FlagItem at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/value/ResFlagsAttr.java:133}	{Class FlagItem at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/arsc/FlagItem.java:22}) MOVE({brut.androlib.res.data.value.ResFlagsAttr FlagItem}  {brut.androlib.res.data.arsc.FlagItem}),
c1f6dc792a07d026651c6ae34f1213ff5c7ef75d,MOVE, MOVE	{Class Span at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/StringBlock.java:184}	{Class Span at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/StyledString.java:51}) MOVE({brut.androlib.res.decoder.StringBlock Span}  {brut.androlib.res.decoder.StyledString Span}),
d068c3e4819d73e7c27c851ecba4aa09d0fa46e3,EXTRACT, EXTRACT	{Method copyToDir(Directory  Directory  String) at brut.j.dir/src/main/java/brut/directory/DirUtil.java:42}	{Method copyToDir(Directory  Directory  String  String) at brut.j.dir/src/main/java/brut/directory/DirUtil.java:47}) EXTRACT({brut.directory.DirUtil copyToDir(Directory  Directory  String)}  {brut.directory.DirUtil copyToDir(Directory  Directory  String  String)}),
1b0a917a6a8bfa0cf81a86a5995a76ab94c496fa,EXTRACT, EXTRACT	{Method getReferenceString(Reference) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/util/ReferenceUtil.java:106}	{Method getReferenceString(Reference  String) at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/util/ReferenceUtil.java:126}) EXTRACT({org.jf.dexlib2.util.ReferenceUtil getReferenceString(Reference)}  {org.jf.dexlib2.util.ReferenceUtil getReferenceString(Reference  String)}),
1b0a917a6a8bfa0cf81a86a5995a76ab94c496fa,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method writeTo(IndentingWriter  AnnotationEncodedValue) at brut.apktool.smali/baksmali/src/main/java/org/jf/baksmali/Adaptors/EncodedValue/AnnotationEncodedValueAdaptor.java:40}	{Method writeTo(IndentingWriter  AnnotationEncodedValue  String) at brut.apktool.smali/baksmali/src/main/java/org/jf/baksmali/Adaptors/EncodedValue/AnnotationEncodedValueAdaptor.java:42}) CHANGE_SIGNATURE({org.jf.baksmali.Adaptors.EncodedValue.AnnotationEncodedValueAdaptor writeTo(IndentingWriter  AnnotationEncodedValue)}  {org.jf.baksmali.Adaptors.EncodedValue.AnnotationEncodedValueAdaptor writeTo(IndentingWriter  AnnotationEncodedValue  String)}),
1b0a917a6a8bfa0cf81a86a5995a76ab94c496fa,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method writeTo(IndentingWriter  EncodedValue) at brut.apktool.smali/baksmali/src/main/java/org/jf/baksmali/Adaptors/EncodedValue/EncodedValueAdaptor.java:41}	{Method writeTo(IndentingWriter  EncodedValue  String) at brut.apktool.smali/baksmali/src/main/java/org/jf/baksmali/Adaptors/EncodedValue/EncodedValueAdaptor.java:43}) CHANGE_SIGNATURE({org.jf.baksmali.Adaptors.EncodedValue.EncodedValueAdaptor writeTo(IndentingWriter  EncodedValue)}  {org.jf.baksmali.Adaptors.EncodedValue.EncodedValueAdaptor writeTo(IndentingWriter  EncodedValue  String)}),
1b0a917a6a8bfa0cf81a86a5995a76ab94c496fa,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method writeElementsTo(IndentingWriter  Collection) at brut.apktool.smali/baksmali/src/main/java/org/jf/baksmali/Adaptors/EncodedValue/AnnotationEncodedValueAdaptor.java:50}	{Method writeElementsTo(IndentingWriter  Collection  String) at brut.apktool.smali/baksmali/src/main/java/org/jf/baksmali/Adaptors/EncodedValue/AnnotationEncodedValueAdaptor.java:53}) CHANGE_SIGNATURE({org.jf.baksmali.Adaptors.EncodedValue.AnnotationEncodedValueAdaptor writeElementsTo(IndentingWriter  Collection)}  {org.jf.baksmali.Adaptors.EncodedValue.AnnotationEncodedValueAdaptor writeElementsTo(IndentingWriter  Collection  String)}),
