Hash,Refatoração,Descrição
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT, EXTRACT	{Method inspectObject(Object  int) at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:490}	{Method newInspector() at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:615}) EXTRACT({com.taobao.arthas.core.model.ObjectRenderTest inspectObject(Object  int)}  {com.taobao.arthas.core.model.ObjectRenderTest newInspector()}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getFullStacktrace(ThreadInfo  long  int  int) at core/src/main/java/com/taobao/arthas/core/util/ThreadUtil.java:247}	{Method getFullStacktrace(ThreadInfo  double  long  long  int  int) at core/src/main/java/com/taobao/arthas/core/util/ThreadUtil.java:179}) CHANGE_SIGNATURE({com.taobao.arthas.core.util.ThreadUtil getFullStacktrace(ThreadInfo  long  int  int)}  {com.taobao.arthas.core.util.ThreadUtil getFullStacktrace(ThreadInfo  double  long  long  int  int)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method drawGcInfo(TableElement  List) at core/src/main/java/com/taobao/arthas/core/command/view/DashboardView.java:89}	{Method drawGcInfo(List) at core/src/main/java/com/taobao/arthas/core/command/view/DashboardView.java:124}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.view.DashboardView drawGcInfo(TableElement  List)}  {com.taobao.arthas.core.command.view.DashboardView drawGcInfo(List)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setBusyThreads(ThreadCpuInfo[]) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadModel.java:72}	{Method setBusyThreads(List) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadModel.java:74}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.model.ThreadModel setBusyThreads(ThreadCpuInfo[])}  {com.taobao.arthas.core.command.model.ThreadModel setBusyThreads(List)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCpu(long) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadVO.java:68}	{Method setCpu(double) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadVO.java:69}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.model.ThreadVO setCpu(long)}  {com.taobao.arthas.core.command.model.ThreadVO setCpu(double)}),
503e0de6b4328d8541aaabbb233bff43f7563276,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(ThreadCpuInfo[]) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadModel.java:38}	{Method new(List) at core/src/main/java/com/taobao/arthas/core/command/model/ThreadModel.java:39}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.model.ThreadModel new(ThreadCpuInfo[])}  {com.taobao.arthas.core.command.model.ThreadModel new(List)}),
932340eac6e4957f58c883a45f593e8164ee19dd,PULL_UP_SIGNATURE, PULL_UP_SIGNATURE	{Method countInstances(Class) at arthas-vmtool/src/main/java/arthas/VmTool.java:123}	{Method countInstances(Class) at spy/src/main/java/arthas/VmToolMXBean.java:39}) PULL_UP_SIGNATURE({arthas.VmTool countInstances(Class)}  {arthas.VmToolMXBean countInstances(Class)}),
932340eac6e4957f58c883a45f593e8164ee19dd,PULL_UP_SIGNATURE, PULL_UP_SIGNATURE	{Method getInstanceSize(Object) at arthas-vmtool/src/main/java/arthas/VmTool.java:118}	{Method getInstanceSize(Object) at spy/src/main/java/arthas/VmToolMXBean.java:34}) PULL_UP_SIGNATURE({arthas.VmTool getInstanceSize(Object)}  {arthas.VmToolMXBean getInstanceSize(Object)}),
932340eac6e4957f58c883a45f593e8164ee19dd,EXTRACT_SUPER, EXTRACT_SUPER	{Class VmTool at arthas-vmtool/src/main/java/arthas/VmTool.java:7}	{Interface VmToolMXBean at spy/src/main/java/arthas/VmToolMXBean.java:5}) EXTRACT_SUPER({arthas.VmTool}  {arthas.VmToolMXBean}),
932340eac6e4957f58c883a45f593e8164ee19dd,PULL_UP_SIGNATURE, PULL_UP_SIGNATURE	{Method getInstances(Class) at arthas-vmtool/src/main/java/arthas/VmTool.java:108}	{Method getInstances(Class) at spy/src/main/java/arthas/VmToolMXBean.java:24}) PULL_UP_SIGNATURE({arthas.VmTool getInstances(Class)}  {arthas.VmToolMXBean getInstances(Class)}),
932340eac6e4957f58c883a45f593e8164ee19dd,PULL_UP_SIGNATURE, PULL_UP_SIGNATURE	{Method check() at arthas-vmtool/src/main/java/arthas/VmTool.java:103}	{Method check() at spy/src/main/java/arthas/VmToolMXBean.java:19}) PULL_UP_SIGNATURE({arthas.VmTool check()}  {arthas.VmToolMXBean check()}),
