Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class MergedWarpMessageCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/MergedWarpMessageCodec.java:29}	{Class MergedWarpMessageCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/MergedWarpMessageCodec.java:29}) MOVE({io.seata.codec.seata.protocol.MergedWarpMessageCodec}  {io.seata.serializer.seata.protocol.MergedWarpMessageCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class RegisterTMResponseCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/RegisterTMResponseCodecTest.java:25}	{Class RegisterTMResponseSerializerTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/RegisterTMResponseSerializerTest.java:25}) MOVE_RENAME({io.seata.codec.seata.protocol.RegisterTMResponseCodecTest}  {io.seata.serializer.seata.protocol.RegisterTMResponseSerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class HessianCodecTest at codec/seata-codec-hessian/src/test/java/io/seata/codec/hessian/HessianCodecTest.java:29}	{Class HessianSerializerTest at serializer/seata-serializer-hessian/src/test/java/io/seata/serializer/hessian/HessianSerializerTest.java:29}) MOVE_RENAME({io.seata.codec.hessian.HessianCodecTest}  {io.seata.serializer.hessian.HessianSerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchRollbackRequestConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/BranchRollbackRequestConvertorTest.java:25}	{Class BranchRollbackRequestConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/BranchRollbackRequestConvertorTest.java:25}) MOVE({io.seata.codec.protobuf.convertor.BranchRollbackRequestConvertorTest}  {io.seata.serializer.protobuf.convertor.BranchRollbackRequestConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalRollbackRequestConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/GlobalRollbackRequestConvertorTest.java:24}	{Class GlobalRollbackRequestConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/GlobalRollbackRequestConvertorTest.java:24}) MOVE({io.seata.codec.protobuf.convertor.GlobalRollbackRequestConvertorTest}  {io.seata.serializer.protobuf.convertor.GlobalRollbackRequestConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchRegisterResponseCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/BranchRegisterResponseCodec.java:24}	{Class BranchRegisterResponseCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/BranchRegisterResponseCodec.java:24}) MOVE({io.seata.codec.seata.protocol.transaction.BranchRegisterResponseCodec}  {io.seata.serializer.seata.protocol.transaction.BranchRegisterResponseCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class RegisterRMResponseCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/RegisterRMResponseCodecTest.java:26}	{Class RegisterRMResponseSerializerTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/RegisterRMResponseSerializerTest.java:26}) MOVE_RENAME({io.seata.codec.seata.protocol.RegisterRMResponseCodecTest}  {io.seata.serializer.seata.protocol.RegisterRMResponseSerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalLockQueryRequestConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/GlobalLockQueryRequestConvertorTest.java:25}	{Class GlobalLockQueryRequestConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/GlobalLockQueryRequestConvertorTest.java:25}) MOVE({io.seata.codec.protobuf.convertor.GlobalLockQueryRequestConvertorTest}  {io.seata.serializer.protobuf.convertor.GlobalLockQueryRequestConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchReportResponseCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/BranchReportResponseCodec.java:20}	{Class BranchReportResponseCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/BranchReportResponseCodec.java:20}) MOVE({io.seata.codec.seata.protocol.transaction.BranchReportResponseCodec}  {io.seata.serializer.seata.protocol.transaction.BranchReportResponseCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class ProtobufCodec at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/ProtobufCodec.java:28}	{Class ProtobufSerializer at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/ProtobufSerializer.java:28}) MOVE_RENAME({io.seata.codec.protobuf.ProtobufCodec}  {io.seata.serializer.protobuf.ProtobufSerializer}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class BranchCommitResponseCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/transaction/BranchCommitResponseCodecTest.java:27}	{Class BranchCommitResponseSerializerTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/BranchCommitResponseSerializerTest.java:27}) MOVE_RENAME({io.seata.codec.seata.protocol.transaction.BranchCommitResponseCodecTest}  {io.seata.serializer.seata.protocol.transaction.BranchCommitResponseSerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class MergeMessageConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/MergeMessageConvertorTest.java:28}	{Class MergeMessageConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/MergeMessageConvertorTest.java:28}) MOVE({io.seata.codec.protobuf.convertor.MergeMessageConvertorTest}  {io.seata.serializer.protobuf.convertor.MergeMessageConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,RENAME, RENAME	{Method encode(T) at core/src/main/java/io/seata/core/codec/Codec.java:25}	{Method serialize(T) at core/src/main/java/io/seata/core/serializer/Serializer.java:25}) RENAME({io.seata.core.codec.Codec encode(T)}  {io.seata.core.serializer.Serializer serialize(T)}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalLockQueryRequestCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/GlobalLockQueryRequestCodec.java:21}	{Class GlobalLockQueryRequestCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/GlobalLockQueryRequestCodec.java:21}) MOVE({io.seata.codec.seata.protocol.transaction.GlobalLockQueryRequestCodec}  {io.seata.serializer.seata.protocol.transaction.GlobalLockQueryRequestCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class UndoLogDeleteRequestConvertor at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/convertor/UndoLogDeleteRequestConvertor.java:26}	{Class UndoLogDeleteRequestConvertor at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/UndoLogDeleteRequestConvertor.java:26}) MOVE({io.seata.codec.protobuf.convertor.UndoLogDeleteRequestConvertor}  {io.seata.serializer.protobuf.convertor.UndoLogDeleteRequestConvertor}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchRollbackResponseConvertor at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/convertor/BranchRollbackResponseConvertor.java:32}	{Class BranchRollbackResponseConvertor at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/BranchRollbackResponseConvertor.java:32}) MOVE({io.seata.codec.protobuf.convertor.BranchRollbackResponseConvertor}  {io.seata.serializer.protobuf.convertor.BranchRollbackResponseConvertor}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class RegisterRMRequestConvertor at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/convertor/RegisterRMRequestConvertor.java:24}	{Class RegisterRMRequestConvertor at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/RegisterRMRequestConvertor.java:24}) MOVE({io.seata.codec.protobuf.convertor.RegisterRMRequestConvertor}  {io.seata.serializer.protobuf.convertor.RegisterRMRequestConvertor}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class BranchRollbackResponseCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/transaction/BranchRollbackResponseCodecTest.java:27}	{Class BranchRollbackResponseSerializerTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/BranchRollbackResponseSerializerTest.java:27}) MOVE_RENAME({io.seata.codec.seata.protocol.transaction.BranchRollbackResponseCodecTest}  {io.seata.serializer.seata.protocol.transaction.BranchRollbackResponseSerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class MessageCodecFactory at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/MessageCodecFactory.java:78}	{Class MessageCodecFactory at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/MessageCodecFactory.java:78}) MOVE({io.seata.codec.seata.MessageCodecFactory}  {io.seata.serializer.seata.MessageCodecFactory}),
b179c7801cfb28915079930e2fe81da5e3310564,RENAME, RENAME	{Method decode(byte[]) at codec/seata-codec-kryo/src/main/java/io/seata/codec/kryo/KryoCodec.java:41}	{Method deserialize(byte[]) at serializer/seata-serializer-kryo/src/main/java/io/seata/serializer/kryo/KryoSerializer.java:41}) RENAME({io.seata.codec.kryo.KryoCodec decode(byte[])}  {io.seata.serializer.kryo.KryoSerializer deserialize(byte[])}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalStatusRequestConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/GlobalStatusRequestConvertorTest.java:24}	{Class GlobalStatusRequestConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/GlobalStatusRequestConvertorTest.java:24}) MOVE({io.seata.codec.protobuf.convertor.GlobalStatusRequestConvertorTest}  {io.seata.serializer.protobuf.convertor.GlobalStatusRequestConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchRegisterRequestConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/BranchRegisterRequestConvertorTest.java:25}	{Class BranchRegisterRequestConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/BranchRegisterRequestConvertorTest.java:25}) MOVE({io.seata.codec.protobuf.convertor.BranchRegisterRequestConvertorTest}  {io.seata.serializer.protobuf.convertor.BranchRegisterRequestConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,RENAME, RENAME	{Method encode(T) at codec/seata-codec-hessian/src/main/java/io/seata/codec/hessian/HessianCodec.java:38}	{Method serialize(T) at serializer/seata-serializer-hessian/src/main/java/io/seata/serializer/hessian/HessianSerializer.java:37}) RENAME({io.seata.codec.hessian.HessianCodec encode(T)}  {io.seata.serializer.hessian.HessianSerializer serialize(T)}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalBeginRequestCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/GlobalBeginRequestCodec.java:23}	{Class GlobalBeginRequestCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/GlobalBeginRequestCodec.java:23}) MOVE({io.seata.codec.seata.protocol.transaction.GlobalBeginRequestCodec}  {io.seata.serializer.seata.protocol.transaction.GlobalBeginRequestCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class UndoLogDeleteRequestCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/transaction/UndoLogDeleteRequestCodecTest.java:25}	{Class UndoLogDeleteRequestSerializerTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/UndoLogDeleteRequestSerializerTest.java:25}) MOVE_RENAME({io.seata.codec.seata.protocol.transaction.UndoLogDeleteRequestCodecTest}  {io.seata.serializer.seata.protocol.transaction.UndoLogDeleteRequestSerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalStatusRequestCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/transaction/GlobalStatusRequestCodecTest.java:24}	{Class GlobalStatusRequestCodecTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/GlobalStatusRequestCodecTest.java:24}) MOVE({io.seata.codec.seata.protocol.transaction.GlobalStatusRequestCodecTest}  {io.seata.serializer.seata.protocol.transaction.GlobalStatusRequestCodecTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalStatusRequestCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/GlobalStatusRequestCodec.java:20}	{Class GlobalStatusRequestCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/GlobalStatusRequestCodec.java:20}) MOVE({io.seata.codec.seata.protocol.transaction.GlobalStatusRequestCodec}  {io.seata.serializer.seata.protocol.transaction.GlobalStatusRequestCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class ProtobufSerializer at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/ProtobufSerializer.java:23}	{Class ProtobufInnerSerializer at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/ProtobufInnerSerializer.java:23}) MOVE_RENAME({io.seata.codec.protobuf.ProtobufSerializer}  {io.seata.serializer.protobuf.ProtobufInnerSerializer}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalLockQueryResponseCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/GlobalLockQueryResponseCodec.java:23}	{Class GlobalLockQueryResponseCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/GlobalLockQueryResponseCodec.java:23}) MOVE({io.seata.codec.seata.protocol.transaction.GlobalLockQueryResponseCodec}  {io.seata.serializer.seata.protocol.transaction.GlobalLockQueryResponseCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalCommitResponseConvertor at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/convertor/GlobalCommitResponseConvertor.java:32}	{Class GlobalCommitResponseConvertor at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/GlobalCommitResponseConvertor.java:32}) MOVE({io.seata.codec.protobuf.convertor.GlobalCommitResponseConvertor}  {io.seata.serializer.protobuf.convertor.GlobalCommitResponseConvertor}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class GlobalBeginRequestCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/transaction/GlobalBeginRequestCodecTest.java:24}	{Class GlobalBeginRequestSerializerTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/GlobalBeginRequestSerializerTest.java:24}) MOVE_RENAME({io.seata.codec.seata.protocol.transaction.GlobalBeginRequestCodecTest}  {io.seata.serializer.seata.protocol.transaction.GlobalBeginRequestSerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,RENAME, RENAME	{Class ProtocolV1CodecTest at test/src/test/java/io/seata/core/rpc/netty/v1/ProtocolV1CodecTest.java:36}	{Class ProtocolV1SerializerTest at test/src/test/java/io/seata/core/rpc/netty/v1/ProtocolV1SerializerTest.java:36}) RENAME({io.seata.core.rpc.netty.v1.ProtocolV1CodecTest}  {io.seata.core.rpc.netty.v1.ProtocolV1SerializerTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchCommitRequestCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/BranchCommitRequestCodec.java:20}	{Class BranchCommitRequestCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/BranchCommitRequestCodec.java:20}) MOVE({io.seata.codec.seata.protocol.transaction.BranchCommitRequestCodec}  {io.seata.serializer.seata.protocol.transaction.BranchCommitRequestCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class RegisterTMResponseConvertor at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/convertor/RegisterTMResponseConvertor.java:27}	{Class RegisterTMResponseConvertor at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/RegisterTMResponseConvertor.java:27}) MOVE({io.seata.codec.protobuf.convertor.RegisterTMResponseConvertor}  {io.seata.serializer.protobuf.convertor.RegisterTMResponseConvertor}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class ProtobufConvertManager at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/manager/ProtobufConvertManager.java:107}	{Class ProtobufConvertManager at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/manager/ProtobufConvertManager.java:107}) MOVE({io.seata.codec.protobuf.manager.ProtobufConvertManager}  {io.seata.serializer.protobuf.manager.ProtobufConvertManager}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class AbstractTransactionRequestToRMCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/AbstractTransactionRequestToRMCodec.java:20}	{Class AbstractTransactionRequestToRMCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/AbstractTransactionRequestToRMCodec.java:20}) MOVE({io.seata.codec.seata.protocol.transaction.AbstractTransactionRequestToRMCodec}  {io.seata.serializer.seata.protocol.transaction.AbstractTransactionRequestToRMCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalCommitRequestCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/transaction/GlobalCommitRequestCodecTest.java:24}	{Class GlobalCommitRequestCodecTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/GlobalCommitRequestCodecTest.java:24}) MOVE({io.seata.codec.seata.protocol.transaction.GlobalCommitRequestCodecTest}  {io.seata.serializer.seata.protocol.transaction.GlobalCommitRequestCodecTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class RegisterTMResponseCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/RegisterTMResponseCodec.java:21}	{Class RegisterTMResponseCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/RegisterTMResponseCodec.java:21}) MOVE({io.seata.codec.seata.protocol.RegisterTMResponseCodec}  {io.seata.serializer.seata.protocol.RegisterTMResponseCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchCommitResponseCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/transaction/BranchCommitResponseCodec.java:21}	{Class BranchCommitResponseCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/transaction/BranchCommitResponseCodec.java:21}) MOVE({io.seata.codec.seata.protocol.transaction.BranchCommitResponseCodec}  {io.seata.serializer.seata.protocol.transaction.BranchCommitResponseCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class RegisterTMRequestCodec at codec/seata-codec-seata/src/main/java/io/seata/codec/seata/protocol/RegisterTMRequestCodec.java:21}	{Class RegisterTMRequestCodec at serializer/seata-serializer-seata/src/main/java/io/seata/serializer/seata/protocol/RegisterTMRequestCodec.java:21}) MOVE({io.seata.codec.seata.protocol.RegisterTMRequestCodec}  {io.seata.serializer.seata.protocol.RegisterTMRequestCodec}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchCommitResponseConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/BranchCommitResponseConvertorTest.java:27}	{Class BranchCommitResponseConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/BranchCommitResponseConvertorTest.java:27}) MOVE({io.seata.codec.protobuf.convertor.BranchCommitResponseConvertorTest}  {io.seata.serializer.protobuf.convertor.BranchCommitResponseConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalBeginRequestConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/GlobalBeginRequestConvertorTest.java:24}	{Class GlobalBeginRequestConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/GlobalBeginRequestConvertorTest.java:24}) MOVE({io.seata.codec.protobuf.convertor.GlobalBeginRequestConvertorTest}  {io.seata.serializer.protobuf.convertor.GlobalBeginRequestConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class BranchCommitResponseConvertor at codec/seata-codec-protobuf/src/main/java/io/seata/codec/protobuf/convertor/BranchCommitResponseConvertor.java:32}	{Class BranchCommitResponseConvertor at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/convertor/BranchCommitResponseConvertor.java:32}) MOVE({io.seata.codec.protobuf.convertor.BranchCommitResponseConvertor}  {io.seata.serializer.protobuf.convertor.BranchCommitResponseConvertor}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE, MOVE	{Class GlobalBeginResponseConvertorTest at codec/seata-codec-protobuf/src/test/java/io/seata/codec/protobuf/convertor/GlobalBeginResponseConvertorTest.java:26}	{Class GlobalBeginResponseConvertorTest at serializer/seata-serializer-protobuf/src/test/java/io/seata/serializer/protobuf/convertor/GlobalBeginResponseConvertorTest.java:26}) MOVE({io.seata.codec.protobuf.convertor.GlobalBeginResponseConvertorTest}  {io.seata.serializer.protobuf.convertor.GlobalBeginResponseConvertorTest}),
b179c7801cfb28915079930e2fe81da5e3310564,MOVE_RENAME, MOVE_RENAME	{Class BranchReportRequestCodecTest at codec/seata-codec-seata/src/test/java/io/seata/codec/seata/protocol/transaction/BranchReportRequestCodecTest.java:26}	{Class BranchReportRequestSerializerTest at serializer/seata-serializer-seata/src/test/java/io/seata/serializer/seata/protocol/transaction/BranchReportRequestSerializerTest.java:26}) MOVE_RENAME({io.seata.codec.seata.protocol.transaction.BranchReportRequestCodecTest}  {io.seata.serializer.seata.protocol.transaction.BranchReportRequestSerializerTest}),
e422d1262888d1164fb086765bfa24e40785e493,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method restoreSessions(boolean) at server/src/main/java/com/alibaba/fescar/server/session/FileBasedSessionManager.java:90}	{Method restoreSessions(boolean  Map) at server/src/main/java/com/alibaba/fescar/server/session/FileBasedSessionManager.java:111}) CHANGE_SIGNATURE({com.alibaba.fescar.server.session.FileBasedSessionManager restoreSessions(boolean)}  {com.alibaba.fescar.server.session.FileBasedSessionManager restoreSessions(boolean  Map)}),
34b8060b210a8340965861d9d6aa4579a8757e54,PULL_UP, PULL_UP	{Method cleanAllLocks() at server/src/main/java/io/seata/server/lock/DefaultLockManager.java:118}	{Method cleanAllLocks() at server/src/main/java/io/seata/server/lock/AbstractLockManager.java:88}) PULL_UP({io.seata.server.lock.DefaultLockManager cleanAllLocks()}  {io.seata.server.lock.AbstractLockManager cleanAllLocks()}),
34b8060b210a8340965861d9d6aa4579a8757e54,PULL_UP, PULL_UP	{Method getLocker() at server/src/main/java/io/seata/server/lock/DefaultLockManager.java:123}	{Method getLocker() at server/src/main/java/io/seata/server/lock/AbstractLockManager.java:93}) PULL_UP({io.seata.server.lock.DefaultLockManager getLocker()}  {io.seata.server.lock.AbstractLockManager getLocker()}),
34b8060b210a8340965861d9d6aa4579a8757e54,PULL_UP, PULL_UP	{Method releaseLock(BranchSession) at server/src/main/java/io/seata/server/lock/DefaultLockManager.java:67}	{Method releaseLock(BranchSession) at server/src/main/java/io/seata/server/lock/AbstractLockManager.java:62}) PULL_UP({io.seata.server.lock.DefaultLockManager releaseLock(BranchSession)}  {io.seata.server.lock.AbstractLockManager releaseLock(BranchSession)}),
34b8060b210a8340965861d9d6aa4579a8757e54,PULL_UP, PULL_UP	{Method acquireLock(BranchSession) at server/src/main/java/io/seata/server/lock/DefaultLockManager.java:48}	{Method acquireLock(BranchSession) at server/src/main/java/io/seata/server/lock/AbstractLockManager.java:43}) PULL_UP({io.seata.server.lock.DefaultLockManager acquireLock(BranchSession)}  {io.seata.server.lock.AbstractLockManager acquireLock(BranchSession)}),
34b8060b210a8340965861d9d6aa4579a8757e54,PULL_UP, PULL_UP	{Method getLocker(BranchSession) at server/src/main/java/io/seata/server/lock/DefaultLockManager.java:132}	{Method getLocker(BranchSession) at server/src/main/java/io/seata/server/lock/AbstractLockManager.java:102}) PULL_UP({io.seata.server.lock.DefaultLockManager getLocker(BranchSession)}  {io.seata.server.lock.AbstractLockManager getLocker(BranchSession)}),
34b8060b210a8340965861d9d6aa4579a8757e54,PULL_UP, PULL_UP	{Method isLockable(String  String  String) at server/src/main/java/io/seata/server/lock/DefaultLockManager.java:107}	{Method isLockable(String  String  String) at server/src/main/java/io/seata/server/lock/AbstractLockManager.java:76}) PULL_UP({io.seata.server.lock.DefaultLockManager isLockable(String  String  String)}  {io.seata.server.lock.AbstractLockManager isLockable(String  String  String)}),
d979af478e280c412946391830dca236f7804adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method unLock(String  Long) at server/src/main/java/io/seata/server/storage/db/lock/LockStoreDataBaseDAO.java:242}	{Method unLock(Long) at server/src/main/java/io/seata/server/storage/db/lock/LockStoreDataBaseDAO.java:262}) CHANGE_SIGNATURE({io.seata.server.storage.db.lock.LockStoreDataBaseDAO unLock(String  Long)}  {io.seata.server.storage.db.lock.LockStoreDataBaseDAO unLock(Long)}),
d979af478e280c412946391830dca236f7804adb,RENAME, RENAME	{Method getBatchDeleteLockSqlByBranch(String) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:60}	{Method getBatchDeleteLockSqlByBranchId(String) at core/src/main/java/io/seata/core/store/db/sql/lock/LockStoreSql.java:60}) RENAME({io.seata.core.store.db.sql.lock.LockStoreSql getBatchDeleteLockSqlByBranch(String)}  {io.seata.core.store.db.sql.lock.LockStoreSql getBatchDeleteLockSqlByBranchId(String)}),
d979af478e280c412946391830dca236f7804adb,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method unLock(String  Long) at core/src/main/java/io/seata/core/store/LockStore.java:71}	{Method unLock(Long) at core/src/main/java/io/seata/core/store/LockStore.java:73}) CHANGE_SIGNATURE({io.seata.core.store.LockStore unLock(String  Long)}  {io.seata.core.store.LockStore unLock(Long)}),
