Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
418ca4568c4f1c66f0c9f3efe9ed2a470029edab,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setCleanPeriod(int) at tcc/src/main/java/io/seata/rm/tcc/config/TCCFenceConfig.java:95}	{Method setCleanPeriod(Duration) at tcc/src/main/java/io/seata/rm/tcc/config/TCCFenceConfig.java:98}) CHANGE_SIGNATURE({io.seata.rm.tcc.config.TCCFenceConfig setCleanPeriod(int)}  {io.seata.rm.tcc.config.TCCFenceConfig setCleanPeriod(Duration)}),
95d3727c6f05f5437f64e9e07e18e506f7ae3c1f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method createTask(Closure) at server/src/main/java/io/seata/server/storage/raft/RaftTaskUtil.java:41}	{Method createTask(Closure  CompletableFuture) at server/src/main/java/io/seata/server/storage/raft/RaftTaskUtil.java:53}) CHANGE_SIGNATURE({io.seata.server.storage.raft.RaftTaskUtil createTask(Closure)}  {io.seata.server.storage.raft.RaftTaskUtil createTask(Closure  CompletableFuture)}),
95d3727c6f05f5437f64e9e07e18e506f7ae3c1f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method createTask(Closure  Object) at server/src/main/java/io/seata/server/storage/raft/RaftTaskUtil.java:30}	{Method createTask(Closure  Object  CompletableFuture) at server/src/main/java/io/seata/server/storage/raft/RaftTaskUtil.java:37}) CHANGE_SIGNATURE({io.seata.server.storage.raft.RaftTaskUtil createTask(Closure  Object)}  {io.seata.server.storage.raft.RaftTaskUtil createTask(Closure  Object  CompletableFuture)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getInt(String  int  long) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:83}	{Method getInt(String  int  long) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:38}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getInt(String  int  long)}  {com.alibaba.fescar.config.AbstractConfiguration getInt(String  int  long)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getLong(String  long) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:105}	{Method getLong(String  long) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:60}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getLong(String  long)}  {com.alibaba.fescar.config.AbstractConfiguration getLong(String  long)}),
3297a5eea15587da45019fc47126299eebd4af5e,EXTRACT_SUPER, EXTRACT_SUPER	{Class FileConfiguration at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:37}	{Class AbstractConfiguration at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:19}) EXTRACT_SUPER({com.alibaba.fescar.config.FileConfiguration}  {com.alibaba.fescar.config.AbstractConfiguration}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getInt(String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:94}	{Method getInt(String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:49}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getInt(String)}  {com.alibaba.fescar.config.AbstractConfiguration getInt(String)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getBoolean(String  boolean) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:121}	{Method getBoolean(String  boolean) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:76}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getBoolean(String  boolean)}  {com.alibaba.fescar.config.AbstractConfiguration getBoolean(String  boolean)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getBoolean(String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:126}	{Method getBoolean(String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:81}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getBoolean(String)}  {com.alibaba.fescar.config.AbstractConfiguration getBoolean(String)}),
3297a5eea15587da45019fc47126299eebd4af5e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addConfigListener(String  ConfigChangeListener) at config/src/main/java/com/alibaba/fescar/config/Configuration.java:204}	{Method addConfigListener(String  T) at config/src/main/java/com/alibaba/fescar/config/Configuration.java:205}) CHANGE_SIGNATURE({com.alibaba.fescar.config.Configuration addConfigListener(String  ConfigChangeListener)}  {com.alibaba.fescar.config.Configuration addConfigListener(String  T)}),
3297a5eea15587da45019fc47126299eebd4af5e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method removeConfigListener(String  ConfigChangeListener) at config/src/main/java/com/alibaba/fescar/config/Configuration.java:212}	{Method removeConfigListener(String  T) at config/src/main/java/com/alibaba/fescar/config/Configuration.java:213}) CHANGE_SIGNATURE({com.alibaba.fescar.config.Configuration removeConfigListener(String  ConfigChangeListener)}  {com.alibaba.fescar.config.Configuration removeConfigListener(String  T)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method removeConfig(String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:184}	{Method removeConfig(String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:111}) PULL_UP({com.alibaba.fescar.config.FileConfiguration removeConfig(String)}  {com.alibaba.fescar.config.AbstractConfiguration removeConfig(String)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getLong(String  long  long) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:99}	{Method getLong(String  long  long) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:54}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getLong(String  long  long)}  {com.alibaba.fescar.config.AbstractConfiguration getLong(String  long  long)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getLong(String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:110}	{Method getLong(String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:65}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getLong(String)}  {com.alibaba.fescar.config.AbstractConfiguration getLong(String)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getBoolean(String  boolean  long) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:115}	{Method getBoolean(String  boolean  long) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:70}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getBoolean(String  boolean  long)}  {com.alibaba.fescar.config.AbstractConfiguration getBoolean(String  boolean  long)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getInt(String  int) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:89}	{Method getInt(String  int) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:44}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getInt(String  int)}  {com.alibaba.fescar.config.AbstractConfiguration getInt(String  int)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method putConfig(String  String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:160}	{Method putConfig(String  String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:101}) PULL_UP({com.alibaba.fescar.config.FileConfiguration putConfig(String  String)}  {com.alibaba.fescar.config.AbstractConfiguration putConfig(String  String)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method putConfigIfAbsent(String  String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:172}	{Method putConfigIfAbsent(String  String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:106}) PULL_UP({com.alibaba.fescar.config.FileConfiguration putConfigIfAbsent(String  String)}  {com.alibaba.fescar.config.AbstractConfiguration putConfigIfAbsent(String  String)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getConfig(String  String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:138}	{Method getConfig(String  String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:86}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getConfig(String  String)}  {com.alibaba.fescar.config.AbstractConfiguration getConfig(String  String)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getConfig(String  long) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:143}	{Method getConfig(String  long) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:91}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getConfig(String  long)}  {com.alibaba.fescar.config.AbstractConfiguration getConfig(String  long)}),
3297a5eea15587da45019fc47126299eebd4af5e,PULL_UP, PULL_UP	{Method getConfig(String) at config/src/main/java/com/alibaba/fescar/config/FileConfiguration.java:148}	{Method getConfig(String) at config/src/main/java/com/alibaba/fescar/config/AbstractConfiguration.java:96}) PULL_UP({com.alibaba.fescar.config.FileConfiguration getConfig(String)}  {com.alibaba.fescar.config.AbstractConfiguration getConfig(String)}),
da8631c132fbb60a23958958cd610c6468222e2a,EXTRACT, EXTRACT	{Method flushOnCondition() at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:345}	{Method flush(FileChannel) at server/src/main/java/io/seata/server/store/FileTransactionStoreManager.java:582}) EXTRACT({io.seata.server.store.FileTransactionStoreManager WriteDataFileRunnable flushOnCondition()}  {io.seata.server.store.FileTransactionStoreManager WriteDataFileRunnable flush(FileChannel)}),
