Hash,Refatoração,Descrição
b42deb823b5b50091f733537e2e8718e4a4e4ee7,EXTRACT, EXTRACT	{Method sha256(String) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:113}	{Method getShaHexString(String  MessageDigest) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:150}) EXTRACT({cn.dev33.satoken.secure.SaSecureUtil sha256(String)}  {cn.dev33.satoken.secure.SaSecureUtil getShaHexString(String  MessageDigest)}),
de39d91b71b437f2d250b89d0cbe4410792a5b3a,EXTRACT_MOVE, EXTRACT_MOVE	{Method checkTicket(String  String) at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoHandle.java:366}	{Method request(String) at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoUtil.java:175}) EXTRACT_MOVE({cn.dev33.satoken.sso.SaSsoHandle checkTicket(String  String)}  {cn.dev33.satoken.sso.SaSsoUtil request(String)}),
55b9c87d6a03530141243a2d77701ea8939e88f4,EXTRACT_MOVE, EXTRACT_MOVE	{Method setLoginId(Object  SaLoginModel) at sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java:199}	{Method updateMinTimeout(long) at sa-token-core/src/main/java/cn/dev33/satoken/session/SaSession.java:277}) EXTRACT_MOVE({cn.dev33.satoken.stp.StpLogic setLoginId(Object  SaLoginModel)}  {cn.dev33.satoken.session.SaSession updateMinTimeout(long)}),
c26adb716a03c9fb0ed21e3caf6abacfadf3680b,EXTRACT, EXTRACT	{Method getStpLogic(String) at sa-token-core/src/main/java/cn/dev33/satoken/SaManager.java:227}	{Method getStpLogic(String  boolean) at sa-token-core/src/main/java/cn/dev33/satoken/SaManager.java:236}) EXTRACT({cn.dev33.satoken.SaManager getStpLogic(String)}  {cn.dev33.satoken.SaManager getStpLogic(String  boolean)}),
c3bedaef99d748f7810a69aed19d53d022cb7de9,RENAME, RENAME	{Class SaCheckInterceptor at sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/interceptor/SaCheckInterceptor.java:14}	{Class SaAnnotationInterceptor at sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/interceptor/SaAnnotationInterceptor.java:14}) RENAME({cn.dev33.satoken.interceptor.SaCheckInterceptor}  {cn.dev33.satoken.interceptor.SaAnnotationInterceptor}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Method getLoginId_asString() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:241}	{Method getLoginIdAsString() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:251}) RENAME({cn.dev33.satoken.stp.StpLogic getLoginId_asString()}  {cn.dev33.satoken.stp.StpLogic getLoginIdAsString()}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Method getKey_tokenName() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:390}	{Method getKeyTokenName() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:410}) RENAME({cn.dev33.satoken.stp.StpLogic getKey_tokenName()}  {cn.dev33.satoken.stp.StpLogic getKeyTokenName()}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Method getKey_LoginId(Object) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:405}	{Method getKeyLoginId(Object) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:425}) RENAME({cn.dev33.satoken.stp.StpLogic getKey_LoginId(Object)}  {cn.dev33.satoken.stp.StpLogic getKeyLoginId(Object)}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,MOVE_RENAME, MOVE_RENAME	{Class SaTokenUtil at sa-token-dev/src/main/java/cn/dev33/satoken/SaTokenUtil.java:3}	{Class SaTokenInsideUtil at sa-token-dev/src/main/java/cn/dev33/satoken/util/SaTokenInsideUtil.java:3}) MOVE_RENAME({cn.dev33.satoken.SaTokenUtil}  {cn.dev33.satoken.util.SaTokenInsideUtil}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Method getLoginId_asInt() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpUtil.java:122}	{Method getLoginIdAsInt() at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpUtil.java:125}) RENAME({cn.dev33.satoken.stp.StpUtil getLoginId_asInt()}  {cn.dev33.satoken.stp.StpUtil getLoginIdAsInt()}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Class SpringMVCUtil at sa-token-dev/src/main/java/cn/dev33/satoken/util/SpringMVCUtil.java:9}	{Class SpringMvcUtil at sa-token-dev/src/main/java/cn/dev33/satoken/util/SpringMvcUtil.java:9}) RENAME({cn.dev33.satoken.util.SpringMVCUtil}  {cn.dev33.satoken.util.SpringMvcUtil}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,EXTRACT, EXTRACT	{Method getSessionByLoginId(Object) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:305}	{Method getSessionByLoginId(Object  boolean) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:315}) EXTRACT({cn.dev33.satoken.stp.StpLogic getSessionByLoginId(Object)}  {cn.dev33.satoken.stp.StpLogic getSessionByLoginId(Object  boolean)}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Method getKey_session(Object) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:413}	{Method getKeySession(Object) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:433}) RENAME({cn.dev33.satoken.stp.StpLogic getKey_session(Object)}  {cn.dev33.satoken.stp.StpLogic getKeySession(Object)}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Method at_check() at sa-token-demo-springboot/src/main/java/com/pj/test/TestController.java:93}	{Method atCheck() at sa-token-demo-springboot/src/main/java/com/pj/test/TestController.java:106}) RENAME({com.pj.test.TestController at_check()}  {com.pj.test.TestController atCheck()}),
167cff595e716c4f67c5e3a8ae2d80b3db786cda,RENAME, RENAME	{Method getKey_TokenValue(String) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:397}	{Method getKeyTokenValue(String) at sa-token-dev/src/main/java/cn/dev33/satoken/stp/StpLogic.java:417}) RENAME({cn.dev33.satoken.stp.StpLogic getKey_TokenValue(String)}  {cn.dev33.satoken.stp.StpLogic getKeyTokenValue(String)}),
